,,Name,,,,Time/iter, +/-,,Min,Max
No Threads,Iter Normal,cc_no_threads_iter_1_100,,,,"1,656",77,,"1,579","1,733"
,,cc_no_threads_iter_4_100,,,,"2,499",181,,"2,318","2,680"
,,cc_no_threads_iter_8_100,,,,"2,440",209,,"2,231","2,649"
,,cc_no_threads_iter_10_100,,,,"2,778",224,,"2,554","3,002"
,,vec_no_threads_iter_100,,,,56,11,,45,67
,,,,,,,,,,
,,cc_no_threads_iter_1_1000,,,,"13,788",451,,"13,337","14,239"
,,cc_no_threads_iter_4_1000,,,,"14,540","1,018",,"13,522","15,558"
,,cc_no_threads_iter_8_1000,,,,"14,584","1,715",,"12,869","16,299"
,,cc_no_threads_iter_10_1000,,,,"14,934","2,056",,"12,878","16,990"
,,vec_no_threads_iter_1000,,,,523,25,,498,548
,,,,,,,,,,
,,cc_no_threads_iter_1_5000,,,,"66,858","2,780",,"64,078","69,638"
,,cc_no_threads_iter_4_5000,,,,"67,140","4,998",,"62,142","72,138"
,,cc_no_threads_iter_8_5000,,,,"69,294","5,525",,"63,769","74,819"
,,cc_no_threads_iter_10_5000,,,,"69,278","7,201",,"62,077","76,479"
,,vec_no_threads_iter_10000,,,,"5,229",600,,"4,629","5,829"
,,,,,,,,,,
,,cc_no_threads_iter_1_10000,,,,"133,296","15,054",,"118,242","148,350"
,,cc_no_threads_iter_4_10000,,,,"133,664","5,560",,"128,104","139,224"
,,cc_no_threads_iter_8_10000,,,,"137,450","9,860",,"127,590","147,310"
,,cc_no_threads_iter_10_10000,,,,"138,529","15,157",,"123,372","153,686"
,,vec_no_threads_iter_5000,,,,"2,548",133,,"2,415","2,681"
,,,,,,,,,,
,,cc_no_threads_iter_1_50000,,,,"665,730","76,011",,"589,719","741,741"
,,cc_no_threads_iter_4_50000,,,,"667,070","96,280",,"570,790","763,350"
,,cc_no_threads_iter_8_50000,,,,"683,060","89,875",,"593,185","772,935"
,,cc_no_threads_iter_10_50000,,,,"666,530","27,314",,"639,216","693,844"
,,vec_no_threads_iter_50000,,,,"25,070","1,443",,"23,627","26,513"
,,,,,,,,,,
,,,,,,,,,,
2 Threads,Iter Normal,cc_2_threads_iter_1_100,,,,"158,929","6,112",,"152,817","165,041"
,,cc_2_threads_iter_4_100,,,,"151,953","6,853",,"145,100","158,806"
,,cc_2_threads_iter_8_100,,,,"151,861","5,481",,"146,380","157,342"
,,cc_2_threads_iter_10_100,,,,"159,145","6,021",,"153,124","165,166"
,,vec_2_threads_iter_100,,,,"164,950","8,832",,"156,118","173,782"
,,,,,,,,,,
,,cc_2_threads_iter_1_1000,,,,"173,334","8,695",,"164,639","182,029"
,,cc_2_threads_iter_4_1000,,,,"167,585","4,887",,"162,698","172,472"
,,cc_2_threads_iter_8_1000,,,,"168,527","6,856",,"161,671","175,383"
,,cc_2_threads_iter_10_1000,,,,"176,503","5,056",,"171,447","181,559"
,,vec_2_threads_iter_1000,,,,"163,580","7,439",,"156,141","171,019"
,,,,,,,,,,
,,cc_2_threads_iter_1_5000,,,,"226,699","7,794",,"218,905","234,493"
,,cc_2_threads_iter_4_5000,,,,"227,932","6,153",,"221,779","234,085"
,,cc_2_threads_iter_8_5000,,,,"228,095","7,243",,"220,852","235,338"
,,cc_2_threads_iter_10_5000,,,,"234,607","10,505",,"224,102","245,112"
,,vec_2_threads_iter_5000,,,,"160,480","5,679",,"154,801","166,159"
,,,,,,,,,,
,,cc_2_threads_iter_1_10000,,,,"302,850","12,875",,"289,975","315,725"
,,cc_2_threads_iter_4_10000,,,,"302,486","7,207",,"295,279","309,693"
,,cc_2_threads_iter_8_10000,,,,"301,778","8,618",,"293,160","310,396"
,,cc_2_threads_iter_10_10000,,,,"307,764","10,414",,"297,350","318,178"
,,vec_2_threads_iter_10000,,,,"163,020","6,989",,"156,031","170,009"
,,,,,,,,,,
,,cc_2_threads_iter_1_50000,,,,"1,047,550","98,891",,"948,659","1,146,441"
,,cc_2_threads_iter_4_50000,,,,"1,053,421","97,027",,"956,394","1,150,448"
,,cc_2_threads_iter_8_50000,,,,"1,025,017","100,303",,"924,714","1,125,320"
,,cc_2_threads_iter_10_50000,,,,"1,150,946","121,778",,"1,029,168","1,272,724"
,,vec_2_threads_iter_50000,,,,"180,596","6,836",,"173,760","187,432"
,,,,,,,,,,
,,,,,,,,,,
6 Threads,Iter Normal,cc_6_threads_iter_1_100,,,,"368,506","10,943",,"357,563","379,449"
,,cc_6_threads_iter_4_100,,,,"409,766","523,665",,0,"933,431"
,,cc_6_threads_iter_8_100,,,,"382,825","10,326",,"372,499","393,151"
,,cc_6_threads_iter_10_100,,,,"380,263","9,345",,"370,918","389,608"
,,vec_6_threads_iter_100,,,,"392,329","12,855",,"379,474","405,184"
,,,,,,,,,,
,,cc_6_threads_iter_1_1000,,,,"370,678","27,038",,"343,640","397,716"
,,cc_6_threads_iter_4_1000,,,,"360,370","47,789",,"312,581","408,159"
,,cc_6_threads_iter_8_1000,,,,"376,287","17,625",,"358,662","393,912"
,,cc_6_threads_iter_10_1000,,,,"369,561","11,470",,"358,091","381,031"
,,vec_6_threads_iter_1000,,,,"389,126","9,623",,"379,503","398,749"
,,,,,,,,,,
,,cc_6_threads_iter_1_5000,,,,"431,475","24,453",,"407,022","455,928"
,,cc_6_threads_iter_4_5000,,,,"436,215","18,685",,"417,530","454,900"
,,cc_6_threads_iter_8_5000,,,,"437,348","10,405",,"426,943","447,753"
,,cc_6_threads_iter_10_5000,,,,"431,273","10,403",,"420,870","441,676"
,,vec_6_threads_iter_5000,,,,"388,626","14,092",,"374,534","402,718"
,,,,,,,,,,
,,cc_6_threads_iter_1_10000,,,,"540,459","16,208",,"524,251","556,667"
,,cc_6_threads_iter_4_10000,,,,"554,786","55,347",,"499,439","610,133"
,,cc_6_threads_iter_8_10000,,,,"574,943","14,063",,"560,880","589,006"
,,cc_6_threads_iter_10_10000,,,,"564,001","11,606",,"552,395","575,607"
,,vec_6_threads_iter_10000,,,,"398,867","16,082",,"382,785","414,949"
,,,,,,,,,,
,,cc_6_threads_iter_1_50000,,,,"1,536,967","163,989",,"1,372,978","1,700,956"
,,cc_6_threads_iter_4_50000,,,,"1,541,695","195,375",,"1,346,320","1,737,070"
,,cc_6_threads_iter_8_50000,,,,"1,544,132","24,070",,"1,520,062","1,568,202"
,,cc_6_threads_iter_10_50000,,,,"1,541,287","31,763",,"1,509,524","1,573,050"
,,vec_6_threads_iter_50000,,,,"386,192","13,538",,"372,654","399,730"
,,,,,,,,,,
,,,,,,,,,,
No threads,Streaming Iter,cc_no_threads_iter_streaming_1_100,,,,494,206,,288,700
,,cc_no_threads_iter_streaming_4_100,,,,657,194,,463,851
,,cc_no_threads_iter_streaming_8_100,,,,673,147,,526,820
,,cc_no_threads_iter_streaming_10_100,,,,890,161,,729,1051
,,vec_no_threads_iter_100,,,,56,11,,45,67
,,,,,,,,,,
,,cc_no_threads_iter_streaming_1_1000,,,,"3,775","1,119",,"2,656","4,894"
,,cc_no_threads_iter_streaming_4_1000,,,,"3,606","1,027",,"2,579","4,633"
,,cc_no_threads_iter_streaming_8_1000,,,,"3,892",203,,"3,689","4,095"
,,cc_no_threads_iter_streaming_10_1000,,,,"4,160","1,086",,"3,074","5,246"
,,vec_no_threads_iter_1000,,,,523,25,,498,548
,,,,,,,,,,
,,cc_no_threads_iter_streaming_1_5000,,,,"17,774","5,492",,"12,282","23,266"
,,cc_no_threads_iter_streaming_4_5000,,,,"17,447","4,070",,"13,377","21,517"
,,cc_no_threads_iter_streaming_8_5000,,,,"17,604","3,698",,"13,906","21,302"
,,cc_no_threads_iter_streaming_10_5000,,,,"19,057","4,870",,"14,187","23,927"
,,vec_no_threads_iter_5000,,,,"2,548",133,,"2,415","2,681"
,,,,,,,,,,
,,cc_no_threads_iter_streaming_1_10000,,,,"36,277","10,985",,"25,292","47,262"
,,cc_no_threads_iter_streaming_4_10000,,,,"34,524","5,405",,"29,119","39,929"
,,cc_no_threads_iter_streaming_8_10000,,,,"34,633","5,512",,"29,121","40,145"
,,cc_no_threads_iter_streaming_10_10000,,,,"37,332","2,607",,"34,725","39,939"
,,vec_no_threads_iter_10000,,,,"5,229",600,,"4,629","5,829"
,,,,,,,,,,
,,cc_no_threads_iter_streaming_1_50000,,,,"183,190","57,053",,"126,137","240,243"
,,cc_no_threads_iter_streaming_4_50000,,,,"175,933","37,360",,"138,573","213,293"
,,cc_no_threads_iter_streaming_8_50000,,,,"173,486","50,798",,"122,688","224,284"
,,cc_no_threads_iter_streaming_10_50000,,,,"183,777","93,024",,"90,753","276,801"
,,vec_no_threads_iter_50000,,,,"25,070","1,443",,"23,627","26,513"
,,,,,,,,,,
,,,,,,,,,,
2 Threads,Streaming Iter,cc_2_threads_iter_streaming_1_100,,,,"153,475","4,226",,"149,249","157,701"
,,cc_2_threads_iter_streaming_4_100,,,,"153,027","6,309",,"146,718","159,336"
,,cc_2_threads_iter_streaming_8_100,,,,"152,562","5,041",,"147,521","157,603"
,,cc_2_threads_iter_streaming_10_100,,,,"151,601","5,023",,"146,578","156,624"
,,vec_2_threads_iter_100,,,,"164,950","8,832",,"156,118","173,782"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_1_1000,,,,"153,236","5,253",,"147,983","158,489"
,,cc_2_threads_iter_streaming_4_1000,,,,"153,150","4,810",,"148,340","157,960"
,,cc_2_threads_iter_streaming_8_1000,,,,"154,303","4,688",,"149,615","158,991"
,,cc_2_threads_iter_streaming_10_1000,,,,"152,138","4,818",,"147,320","156,956"
,,vec_2_threads_iter_1000,,,,"163,580","7,439",,"156,141","171,019"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_1_5000,,,,"169,961","5,012",,"164,949","174,973"
,,cc_2_threads_iter_streaming_4_5000,,,,"170,594","5,324",,"165,270","175,918"
,,cc_2_threads_iter_streaming_8_5000,,,,"171,078","6,327",,"164,751","177,405"
